Difficulty,Category,Question,Option A,Option B,Option C,Correct Answer
Medium,Players,Who scored the opening goal of the 2010 World Cup?,Siphiwe Tshabalala,Asamoah Gyan,Diego Forlan,Siphiwe Tshabalala
Medium,Players,Which German forward scored 5 goals in both 2002 and 2006?,Miroslav Klose,Thomas Muller,Miroslav Klose,Miroslav Klose
Medium,Players,Who is the all-time top scorer for the France national team?,Olivier Giroud,Thierry Henry,Kylian Mbappe,Olivier Giroud
Medium,Players,Which Spanish player scored the winning goal in the 2010 final?,Andres Iniesta,Xavi,David Villa,Andres Iniesta
Medium,Players,Which legendary Dutch player created the famous Cruyff Turn?,Johan Cruyff,Marco van Basten,Ruud Gullit,Johan Cruyff
Medium,Players,Who was the top scorer of the 1998 World Cup?,Davor Suker,Ronaldo,Gabriel Batistuta,Davor Suker
Medium,Players,Which goalkeeper won the Golden Glove award at the 2022 tournament?,Emiliano Martinez,Hugo Lloris,Dominik Livakovic,Emiliano Martinez
Medium,Players,Who scored four goals against Spain in the 2014 group stage?,Arjen Robben,Robin van Persie,Thomas Muller,Robin van Persie
Medium,Players,Which Portuguese player scored a hat-trick against Spain in 2018?,Cristiano Ronaldo,Diego Costa,Nani,Cristiano Ronaldo
Medium,Players,Who was named the player of the tournament in 2010?,Diego Forlan,Wesley Sneijder,Thomas Muller,Diego Forlan
Medium,Players,Which English defender scored a crucial header against Sweden in 2018?,Harry Maguire,John Stones,Kieran Trippier,Harry Maguire
Medium,Players,Who is the only player to score in a World Cup and Champions League final in same year?,Ferenc Puskas,Gerd Muller,Zinedine Zidane,Gerd Muller
Medium,Players,Which Brazilian midfielder scored a brilliant bicycle kick in 2002?,Edmilson,Rivaldo,Ronaldinho,Edmilson
Medium,Players,Who is the record goalscorer for the United States mens national team?,Clint Dempsey,Landon Donovan,Both tied,Both tied
Medium,Players,Which legendary Italian defender captained the 2006 winning squad?,Fabio Cannavaro,Alessandro Nesta,Paolo Maldini,Fabio Cannavaro
Medium,Players,Who missed the final penalty for France in the 2006 final?,David Trezeguet,Zinedine Zidane,Sylvain Wiltord,David Trezeguet
Medium,Teams,Which African nation went furthest in tournament history?,Senegal,Ghana,Morocco,Morocco
Medium,Teams,What is the nickname of the Brazilian national team?,Selecao,Azzurri,Socceroos,Selecao
Medium,Teams,Which host nation was eliminated in the 2010 group stage?,South Africa,Brazil,Russia,South Africa
Medium,Teams,Which nation has lost the most World Cup finals in history?,Netherlands,Germany,Argentina,Germany
Medium,Teams,Which European country won back-to-back World Cups in 1934 and 1938?,Germany,Italy,France,Italy
Medium,Teams,Which Asian country reached the semifinals on home soil in 2002?,Japan,South Korea,Iran,South Korea
Medium,Teams,Which country did Germany famously beat 7-1 in 2014?,Argentina,Brazil,Portugal,Brazil
Medium,Teams,Which nation finished third at both the 2014 and 1998 World Cups?,Netherlands,Croatia,Belgium,Croatia
Medium,Teams,Which European team failed to qualify for the 2018 and 2022 World Cups?,Italy,Netherlands,Sweden,Italy
Medium,Teams,Which CONCACAF team reached the quarterfinals in 2014?,Costa Rica,USA,Mexico,Costa Rica
Medium,Teams,Which country was the first African nation to ever qualify?,Egypt,Morocco,Cameroon,Egypt
Medium,Teams,Which country has played in every single World Cup tournament?,Germany,Italy,Brazil,Brazil
Medium,Teams,Which nation finished as runners-up in three separate World Cup finals?,Netherlands,Argentina,France,Netherlands
Medium,Teams,Which team won all six of their qualification games for 1970?,Brazil,Italy,England,Brazil
Medium,Teams,Which country won its second World Cup title on home soil in 1974?,West Germany,Netherlands,Poland,West Germany
Medium,Teams,Which nation was banned from the 1994 World Cup due to apartheid?,South Africa,Chile,Yugoslavia,South Africa
Medium,Teams,Which team did Croatia shock to reach the 2018 final match?,England,Argentina,Russia,England
Medium,Teams,Which nation is known as the Super Eagles?,Ghana,Nigeria,Cameroon,Nigeria
Medium,Teams,Which South American country failed to qualify for the 2022 tournament?,Colombia,Ecuador,Uruguay,Colombia
Medium,Teams,Which country did Spain defeat to win the 2010 World Cup?,Netherlands,Germany,Paraguay,Netherlands
Medium,Teams,Which nation caused a massive upset by beating Argentina in 2022 group stage?,Saudi Arabia,Japan,Tunisia,Saudi Arabia
Medium,Teams,Which Scandinavian country reached the World Cup final in 1958?,Sweden,Norway,Denmark,Sweden
Medium,Teams,Which nation is traditionally known as the Red Devils?,Belgium,Germany,Switzerland,Belgium
Medium,Teams,Which country has won the Oceania qualification zone most times?,New Zealand,Australia,Fiji,New Zealand
Hard,Players,Who is the oldest player to score in a match?,Roger Milla,Pepe,Cristiano Ronaldo,Roger Milla
Hard,Players,Who is the youngest player to score in a final?,Pele,Kylian Mbappe,Mario Gotze,Pele
Hard,Players,Who scored the fastest goal in World Cup history?,Hakan Sukur,Clint Dempsey,Bryan Robson,Hakan Sukur
Hard,Players,Who was the only player to score a hat-trick in a 1966 final?,Geoff Hurst,Bobby Charlton,Pele,Geoff Hurst
Hard,Players,Which player has provided the most assists in World Cup history?,Pele,Diego Maradona,Lionel Messi,Pele
Hard,Players,Who scored a record five goals in a single match in 1994?,Oleg Salenko,Hristo Stoichkov,Romario,Oleg Salenko
Hard,Players,Which Italian player was sent off in the 1994 final?,Gianluca Pagliuca,Zola,Albertini,Gianluca Pagliuca
Hard,Players,Who is the only player to score a hat-trick in two consecutive World Cups?,Gabriel Batistuta,Pele,Just Fontaine,Gabriel Batistuta
Hard,Players,Which player received a red card for a headbutt in 2006 final?,Zinedine Zidane,Marco Materazzi,Thierry Henry,Zinedine Zidane
Hard,Players,Who scored the infamous beach ball goal in English league soccer history?,Darren Bent,Frank Lampard,Steven Gerrard,Darren Bent
Hard,Players,Which player holds the record for most World Cup cards total?,Zinedine Zidane,Cafu,Javier Mascherano,Zinedine Zidane
Hard,Players,Who was the youngest player to ever appear in a match?,Norman Whiteside,Pele,Samuel Eto'o,Norman Whiteside
Hard,Players,Which goalkeeper has the most clean sheets in history?,Peter Shilton,Fabien Barthez,Both tied,Both tied
Hard,Players,Who scored the winning goal for Uruguay in the 1950 Maracanazo?,Alcides Ghiggia,Juan Schiaffino,Obdulio Varela,Alcides Ghiggia
Hard,Players,Which country did legendary player Eusebio score 9 goals for in 1966?,Portugal,Brazil,Angola,Portugal
Hard,Players,Who was the captain of the 1970 legendary Brazil team?,Carlos Alberto,Pele,Rivelino,Carlos Alberto
Hard,Players,Which player missed the deciding penalty for Italy in 1994 final?,Roberto Baggio,Franco Baresi,Daniele Massaro,Roberto Baggio
Hard,Players,Who is the only player to win the World Cup Best Young Player award twice?,Pele,Thomas Muller,No one has,No one has
Hard,Players,Which Cameroonian player is the oldest outfield player in history?,Roger Milla,Rigobert Song,Samuel Eto'o,Roger Milla
Hard,Players,Who scored the famous looping header goal for Mexico in 1986?,Manuel Negrete,Hugo Sanchez,Luis Hernandez,Manuel Negrete
Hard,Players,Which goalkeeper saved three penalties in a 2006 shootout against England?,Ricardo,Gianluigi Buffon,Jens Lehmann,Ricardo
Hard,Players,Who scored the golden goal that eliminated Italy in 2002?,Ahn Jung-hwan,Park Ji-sung,Seol Ki-hyeon,Ahn Jung-hwan
Hard,Players,Which Colombian player famously scored an own goal in 1994?,Andres Escobar,Carlos Valderrama,Faustino Asprilla,Andres Escobar
Hard,Players,Who was the first ever substitute to score in a final?,Mario Gotze,Rudi Voller,Patrick Kluivert,Rudi Voller
Hard,Teams,Which country is making their debut in 2026?,Jordan,Syria,Oman,Jordan
Hard,Teams,Which 2026 debutant nation is from Africa?,Cabo Verde,Mali,Zambia,Cabo Verde
Hard,Teams,Which debutant is from the Caribbean in 2026?,Haiti,Curacao,Jamaica,Curacao
Hard,Teams,Which Asian debutant qualified for the 2026 World Cup?,Uzbekistan,Tajikistan,Vietnam,Uzbekistan
Hard,Teams,Which country withdrew from the 1950 World Cup because of travel costs?,India,Scotland,Turkey,India
Hard,Teams,Which country played the most World Cup matches without a single win?,Honduras,El Salvador,Bolivia,Honduras
Hard,Teams,Which nation scored the most goals in a single tournament line?,Hungary,West Germany,France,Hungary
Hard,Teams,Which country was the first from North America to reach semifinals?,USA,Mexico,Costa Rica,USA
Hard,Teams,Which European nation did not win a game despite hosting in 1982?,Spain,Italy,France,Spain
Hard,Teams,Which team holds the record for most consecutive losses in history?,El Salvador,Honduras,New Zealand,El Salvador
Hard,Teams,Which country played in the final of 1950 but lost as hosts?,Brazil,Uruguay,Sweden,Brazil
Hard,Teams,Which African country was the first to top a group stage?,\Morocco,Cameroon,Nigeria,Morocco
Hard,Teams,Which country drew all three group games and got knocked out in 2010?,New Zealand,Italy,France,New Zealand
Hard,Teams,Which nation was the lowest FIFA ranked team to enter 2018?,Russia,Saudi Arabia,Panama,Russia
Hard,Teams,Which country won the World Cup in 1954 defying Hungary?,West Germany,Austria,Uruguay,West Germany
Hard,Teams,Which South American country was banned from the 1994 qualifiers?,Chile,Colombia,Ecuador,Chile
Hard,Teams,Which team did not concede a single goal but got eliminated in 2006?,Switzerland,Italy,France,Switzerland
Hard,Teams,Which country was the first ever host nation to lose an opening match?,Qatar,South Africa,Russia,Qatar
Hard,Teams,Which nation holds the record for most red cards in a single match?,Portugal,Netherlands,Both tied,Both tied
Hard,Teams,Which country won its only World Cup title on home soil in 1966?,England,France,Argentina,England
Hard,Teams,Which team qualified for 2026 out of Oceania behind New Zealand?,Oman,Solomon Islands,Fiji,Solomon Islands
Hard,Teams,Which nation has played the most final matches without ever winning one?,Netherlands,Czechoslovakia,Hungary,Netherlands
Hard,Teams,Which country did Canada lose to in their first 1986 match?,France,Hungary,USSR,France
Hard,Teams,Which nation was the first ever from Central America to qualify?,El Salvador,Honduras,Cuba,El Salvador
